Month,YYYY,ICS_ALL
January,2004,103.8
February,2004,94.4
March,2004,95.8
April,2004,94.2
May,2004,90.2
June,2004,95.6
July,2004,96.7
August,2004,95.9
September,2004,94.2
October,2004,91.7
November,2004,92.8
December,2004,97.1
January,2005,95.5
February,2005,94.1
March,2005,92.6
April,2005,87.7
May,2005,86.9
June,2005,96
July,2005,96.5
August,2005,89.1
September,2005,76.9
October,2005,74.2
November,2005,81.6
December,2005,91.5
January,2006,91.2
February,2006,86.7
March,2006,88.9
April,2006,87.4
May,2006,79.1
June,2006,84.9
July,2006,84.7
August,2006,82
September,2006,85.4
October,2006,93.6
November,2006,92.1
December,2006,91.7
January,2007,96.9
February,2007,91.3
March,2007,88.4
April,2007,87.1
May,2007,88.3
June,2007,85.3
July,2007,90.4
August,2007,83.4
September,2007,83.4
October,2007,80.9
November,2007,76.1
December,2007,75.5
January,2008,78.4
February,2008,70.8
March,2008,69.5
April,2008,62.6
May,2008,59.8
June,2008,56.4
July,2008,61.2
August,2008,63
September,2008,70.3
October,2008,57.6
November,2008,55.3
December,2008,60.1
January,2009,61.2
February,2009,56.3
March,2009,57.3
April,2009,65.1
May,2009,68.7
June,2009,70.8
July,2009,66
August,2009,65.7
September,2009,73.5
October,2009,70.6
November,2009,67.4
December,2009,72.5
January,2010,74.4
February,2010,73.6
March,2010,73.6
April,2010,72.2
May,2010,73.6
June,2010,76
July,2010,67.8
August,2010,68.9
September,2010,68.2
October,2010,67.7
November,2010,71.6
December,2010,74.5
January,2011,74.2
February,2011,77.5
March,2011,67.5
April,2011,69.8
May,2011,74.3
June,2011,71.5
July,2011,63.7
August,2011,55.8
September,2011,59.5
October,2011,60.8
November,2011,63.7
December,2011,69.9
January,2012,75
February,2012,75.3
March,2012,76.2
April,2012,76.4
May,2012,79.3
June,2012,73.2
July,2012,72.3
August,2012,74.3
September,2012,78.3
October,2012,82.6
November,2012,82.7
December,2012,72.9
January,2013,73.8
February,2013,77.6
March,2013,78.6
April,2013,76.4
May,2013,84.5
June,2013,84.1
July,2013,85.1
August,2013,82.1
September,2013,77.5
October,2013,73.2
November,2013,75.1
December,2013,82.5
January,2014,81.2
February,2014,81.6
March,2014,80
April,2014,84.1
May,2014,81.9
June,2014,82.5
July,2014,81.8
August,2014,82.5
September,2014,84.6
October,2014,86.9
November,2014,88.8
December,2014,93.6
January,2015,98.1
February,2015,95.4
March,2015,93
April,2015,95.9
May,2015,90.7
June,2015,96.1
July,2015,93.1
August,2015,91.9
September,2015,87.2
October,2015,90
November,2015,91.3
December,2015,92.6
January,2016,92
February,2016,91.7
March,2016,91
April,2016,89
May,2016,94.7
June,2016,93.5
July,2016,90
August,2016,89.8
September,2016,91.2
October,2016,87.2
November,2016,93.8
December,2016,98.2
January,2017,98.5
February,2017,96.3
March,2017,96.9
April,2017,97
May,2017,97.1
June,2017,95
July,2017,93.4
August,2017,96.8
September,2017,95.1
October,2017,100.7
November,2017,98.5
December,2017,95.9
January,2018,95.7
February,2018,99.7
March,2018,101.4
April,2018,98.8
May,2018,98
June,2018,98.2
July,2018,97.9
August,2018,96.2
September,2018,100.1
October,2018,98.6
November,2018,97.5
